"iso","umd_tree_cover_extent_2000__ha","area__ha"
"SWE",27883714.002104902582124698,45004558.069608132474035021
"SWZ",469227.38864801255899498,1738333.06301435447016926
"SXM",1022.1797823842759336,3801.38751521573774541
"SYC",6209.6246193943625645,20267.78026860387679081
"SYR",105939.86933258107945188,18691798.39213371507563490
"TCA",10851.31188485343719002,99152.01584847324075355
"TCD",409749.29467153399491226,126995174.50103725208680063
"TGO",558803.51325554662766816,5699519.20201946130555390
"THA",19962441.08856479389034402,51405448.59428096158311175
"TJK",60256.64849434797750196,14211295.405717748664347602
"TKM",10176.935689063921430806,48959209.554218193921449131
"TLS",726234.45140171652586241,1491565.39233708147438436
"TTO",391844.28193399279309386,515899.59454438440094164
"TUN",223827.619878513317886028,15486458.270954626569740646
"TUR",10060827.805634922934265878,78070340.890014429805234989
"TUV",0.0,49.9008349886791043
"TWN",2342180.54739516802891550,3640651.39732476243485481
"TZA",26406465.77483970884800119,94057690.73101182890694813
"UGA",7764958.85456242113187783,24143952.93930463915215184
"UKR",11133284.652450278868727772,60136109.708208956059140564
"UMI",145.898116827386645,541.679762804752203
"URY",1697322.42308103699698264,17746574.34434574831449887
"USA",279346946.999863560446760309,947263630.370297109295861758
"UZB",106176.257291832632782460,44755388.100198677724232621
"VAT",4.838481851476107,52.87803968395236
"VCT",29110.61416117935959263,39788.97162864638716208
"VEN",56533524.97089958181511885,91249225.52623925151536108
"VGB",7463.88088378224149758,16932.04449944321885246
"VIR",18997.90728330965952778,36213.91572682179231884
"VNM",16551332.11341414785515189,32927599.94752554447528703
"VUT",1181152.21475083109630261,1231886.25293644543802386
"XAD",455.93756603212402303,23448.38132256463566379
"XCA",141764.26840789593954652,37158133.71156121181643160
"XCL",0.0,1008.639098372220744
"XKO",370224.38396682439974551,1091976.44794611975088239
"XNC",12307.27552925068957188,331406.91415754217902131
"XPI",0.0,1969.21271611593472
"XSP",0.0,188.152937465398314
"YEM",126.16372333521595727,45220898.29136450968858648
"ZAF",5983115.28501280677944481,121971018.80355943088705170
"ZMB",24050819.11173318336404737,75049201.88691746891279189
"ZWE",1414326.42467232703045166,39068111.13497110705059071
