"iso","Year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MOZ",2010,194545.38567842573222447,69617042.755109086022317
"MSR",2010,109.30204099192430572,61492.647211475517041
"MTQ",2010,75.36671357434556448,40199.520997040760633
"MUS",2010,23.26746883706505306,11498.148742692737799
"MWI",2010,3981.95554303323969197,1429743.517302225371462
"MYS",2010,430607.47900891458248160,260703395.127221728983050
"MYT",2010,31.90512951202912779,15595.352093213583747
"NAM",2010,26.96556648487402849,5775.209602225821589
"NCL",2010,550.42164223665688085,228764.115231696078994
"NGA",2010,32782.06424321402891313,14870352.891537775693160
"NIC",2010,212519.58920538359009270,112443416.701984439128631
"NLD",2010,3403.342056003236426524,1458162.512694213660663
"NOR",2010,40128.910596960505077764,9643838.8044819184457387
"NPL",2010,2347.69860064400213104,1335063.575492306137886
"NZL",2010,56121.874276788488480570,31263287.066703472842706
"PAK",2010,720.22085820944457674,253384.158745753120381
"PAN",2010,15402.50593415474894511,8697199.300443744269216
"PER",2010,142324.14224610328066041,93364424.128883238545541
"PHL",2010,102649.43231558699682924,59529441.291306201621130
"PLW",2010,32.72961263828241926,24635.241482225757355
"PNG",2010,68761.27146652393414085,50931543.631738059790559
"POL",2010,71835.174552974995935383,26619602.9862488487923820
"PRI",2010,595.27982619744516142,312362.196131541082670
"PRK",2010,19020.619730718230854548,5960052.7127754716904597
"PRT",2010,48401.152835916794643742,15940852.8415945808567333
"PRY",2010,442300.41440123071551153,97085555.498047885012189
"PSE",2010,1.31065981178608929,330.307486982351455
"REU",2010,223.36694534208158717,111739.137750710789525
"ROU",2010,17781.764870923901344799,8287106.381232609782856
"RUS",2010,1859545.072531919188288569,450615810.3515005760620094
"RWA",2010,2449.76849725159828377,1162099.004359708504006
"SDN",2010,41.83875764752505428,11444.677092028458866
"SEN",2010,153.82539324728450345,42792.129160004060303
"SGP",2010,43.99259686654719220,17845.068940576307969
"SLB",2010,6418.01787203074914743,4791080.614001585666420
"SLE",2010,8782.21451403793360929,3967726.808047853355514
"SLV",2010,2873.01771746148363140,1200210.107665233208748
"SOM",2010,139.64642920484802237,31488.586374169311675
"SRB",2010,2461.868685247386627578,1113620.818400130935282
"SSD",2010,3879.41041129461651575,1218522.517192984282582
"SUR",2010,7000.39741529057566408,5310327.353040921727573
"SVK",2010,17103.917573661215351308,8323328.052210136868036
"SVN",2010,1433.951353420641859022,737631.571078155195114
"SWE",2010,263646.420904518382000003,61330200.8564799026766780
"SWZ",2010,6660.33948274030202599,3325649.914540493509932
"SXM",2010,0.21973067132702744,73.981881002081410
"SYR",2010,240.532966553512042646,52445.621425258828806
"TCA",2010,38.41868880469654781,8818.521487091045969
"TCD",2010,254.65247386250111835,70372.748613307681804
"TGO",2010,514.10513438256460586,199253.571270554075291
"THA",2010,134984.30930407982075967,72838036.700573741480782
"TJK",2010,10.85788964823345373,3392.187067586066705
"TKM",2010,8.873221635655375856,2276.275170332518042
"TLS",2010,649.01071687699275268,373004.746554529799553
"TTO",2010,3406.83339102183939830,1821383.929446015201850
"TUN",2010,398.039719157353252178,123946.190748397589055
"TUR",2010,17007.965143320173057166,4549747.036488840418824
"TWN",2010,2459.82198896217500233,1314718.196933626927565
"TZA",2010,138486.41051633601337617,47368059.194717839848414
"UGA",2010,34149.41893366065503824,17253096.919027691919420
"UKR",2010,52441.055151381642590496,20357057.2884413360414800
"URY",2010,17826.26894073353902376,12369255.5568496470017685
"USA",2010,2167639.242542896584791904,769898194.6909054254391898
"UZB",2010,31.924242793496098084,9938.246879496147671
"VCT",2010,65.79194186819732205,36632.184372409751694
"VEN",2010,101285.58210303439168683,45924393.361560640471259
"VGB",2010,3.94622511637266833,1737.697651587924146
"VIR",2010,21.34495411407256896,7948.24159597659595
"VNM",2010,174256.19388177316528583,107028326.078993669317895
